Ciclo,ID_Ramo,Ramo,ID_UR,UR,ID_FIN,FIN,ID_Funcion,Funcion,ID_Subfuncion,Subfuncion,ID_AI,Actividad_Institucional,ID_Modalidad,Modalidad,ID_PP,PP,ID_OG,Objeto_Gasto,ID_TG,Tipo_Gasto,ID_FF,Fuente_Financiamiento,ID_EF,EF,ID_CC,Aprobado,Modificado,Devengado,Pagado,Adefas,Ejercicio
2015,7,Defensa Nacional,117,Dirección General de Ingenieros,1,Gobierno,6,Seguridad Nacional,1,Defensa,4,Equipo e infraestructura militares de calidad,K,Proyectos de Inversión,19,Proyectos de infraestructura gubernamental de seguridad nacional,29801,Refacciones y accesorios menores de maquinaria y otros equipos,3,Gasto de obra pública,1,Recursos fiscales,19,Nuevo León,14071170012,0.0,6223.02,6223.02,6223.02,0.0,6223.02
2015,9,Comunicaciones y Transportes,641,Centro SCT Puebla,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,37,Conservación de infraestructura de caminos rurales y carreteras alimentadoras,27101,Vestuario y uniformes,3,Gasto de obra pública,1,Recursos fiscales,21,Puebla,14092100002,164177.0,384338.48,384338.48,384338.48,0.0,384338.48
2015,9,Comunicaciones y Transportes,650,Centro SCT Veracruz,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,31,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,31301,Servicio de agua,3,Gasto de obra pública,1,Recursos fiscales,30,Veracruz,14096500026,360.0,0.0,0.0,0.0,0.0,0.0
2015,17,Procuraduría General de la República,417,Dirección General de Apoyo Jurídico y Control Ministerial en Delincuencia Organizada,1,Gobierno,2,Justicia,2,Procuración de Justicia,4,Investigación del delito federal,E,Prestación de Servicios Públicos,3,Investigar y perseguir los delitos relativos a la Delincuencia Organizada,14401,Cuotas para el seguro de vida del personal civil,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,170762.0,150491.71,150491.71,127954.02,22537.69,150491.71
2015,31,Tribunales Agrarios,200,Tribunales Unitarios Agrarios,1,Gobierno,2,Justicia,1,Impartición de Justicia,3,Impartición de Justicia en materia agraria,E,Prestación de Servicios Públicos,1,Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,35301,Mantenimiento y conservación de bienes informáticos,1,Gasto corriente,1,Recursos fiscales,25,Sinaloa,0,35810.0,34745.0,34745.0,34745.0,0.0,34745.0
2015,9,Comunicaciones y Transportes,644,Centro SCT San Luis Potosí,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,31,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,35201,Mantenimiento y conservación de mobiliario y equipo de administración,3,Gasto de obra pública,1,Recursos fiscales,24,San Luis Potosí,11096440004,1200.0,0.0,0.0,0.0,0.0,0.0
2015,9,Comunicaciones y Transportes,640,Centro SCT Oaxaca,3,Desarrollo Económico,6,Comunicaciones,1,Comunicaciones,8,Regulación eficiente de las comunicaciones y los transportes,P,"Planeación, seguimiento y evaluación de políticas públicas",1,Definición y conducción de la política de comunicaciones y transportes,22104,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,10000.0,2293.15,2293.15,2293.15,0.0,2293.15
2015,16,Medio Ambiente y Recursos Naturales,RHQ,Comisión Nacional Forestal,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",2,Silvicultura,4,Producción y Protección Forestal,E,Prestación de Servicios Públicos,14,Programa Nacional Forestal-Protección Forestal,22106,Productos alimenticios para el personal derivado de actividades extraordinarias,1,Gasto corriente,1,Recursos fiscales,20,Oaxaca,0,0.0,18020.0,18020.0,18020.0,0.0,18020.0
2015,9,Comunicaciones y Transportes,652,Centro SCT Zacatecas,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,31,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,62501,Construcción de vías de comunicación,3,Gasto de obra pública,1,Recursos fiscales,32,Zacatecas,11096520025,0.0,3503826.25,3503826.25,3503826.25,0.0,3503826.25
2015,6,Hacienda y Crédito Público,AYB,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,2,Desarrollo Social,6,Protección Social,7,Indígenas,16,Promoción y coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas,U,Otros Subsidios,11,Programa de Derechos Indígenas,21201,Materiales y útiles de impresión y reproducción,7,Gasto corriente por concepto de gastos indirectos de programas de subsidios,1,Recursos fiscales,8,Chihuahua,0,0.0,0.0,0.0,0.0,0.0,0.0
