Ciclo,ID_Ramo,Ramo,ID_UR,UR,ID_FIN,FIN,ID_Funcion,Funcion,ID_Subfuncion,Subfuncion,ID_AI,Actividad_Institucional,ID_Modalidad,Modalidad,ID_PP,PP,ID_OG,Objeto_Gasto,ID_TG,Tipo_Gasto,ID_FF,Fuente_Financiamiento,ID_EF,EF,ID_CC,Aprobado,Modificado,Devengado,Pagado,Adefas,Ejercicio
2015,15,"Desarrollo Agrario, Territorial y Urbano",129,Delegación Estatal en el Distrito Federal,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",1,Agropecuaria,4,Ordenamiento y regularización de la propiedad rural,P,"Planeación, seguimiento y evaluación de políticas públicas",1,"Implementación de políticas enfocadas al medio agrario, territorial y urbano",33602,Otros servicios comerciales,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,1006.0,9218.2,9218.2,9218.2,0.0,9218.2
2015,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,2,Desarrollo Social,1,Protección Ambiental,2,Administración del Agua,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,G,Regulación y supervisión,10,Programa de gestión hídrica,13407,Compensaciones adicionales por servicios especiales,1,Gasto corriente,1,Recursos fiscales,6,Colima,0,62181.0,67445.92,67445.92,67445.92,0.0,67445.92
2015,11,Educación Pública,A2M,Universidad Autónoma Metropolitana,2,Desarrollo Social,5,Educación,3,Educación Superior,5,Educación superior de calidad,E,Prestación de Servicios Públicos,10,Prestación de servicios de educación superior y posgrado,21502,Material para información en actividades de investigación científica y tecnológica,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,36728690.0,36728690.0,36728690.0,36728690.0,0.0,36728690.0
2015,4,Gobernación,D00,Prevención y Readaptación Social,1,Gobierno,2,Justicia,3,Reclusión y Readaptación Social,21,Sistema penitenciario que garantice la ejecución de las resoluciones jurídicas y contribuya a la readaptación social,E,Prestación de Servicios Públicos,904,Administración del sistema federal penitenciario,31603,Servicios de Internet,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,83039001.0,1716934.25,1716934.25,1716934.25,0.0,1716934.25
2015,22,Instituto Nacional Electoral,200,Juntas Locales Ejecutivas,1,Gobierno,3,Coordinación de la Política de Gobierno,6,Organización de Procesos Electorales,1,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",R,Específicos,3,Capacitación y educación para el ejercicio democrático de la ciudadanía,16108,Previsiones para los depósitos al ahorro solidario,1,Gasto corriente,1,Recursos fiscales,10,Durango,0,505.0,0.0,0.0,0.0,0.0,0.0
2015,10,Economía,LAT,Procuraduría Federal del Consumidor,3,Desarrollo Económico,1,"Asuntos Económicos, Comerciales y Laborales en General",1,Asuntos Económicos y Comerciales en General,7,Equidad en las relaciones de consumo,B,Provisión de Bienes Públicos,2,Promoción de una cultura de consumo responsable e inteligente,14404,Cuotas para el seguro de separación individualizado,1,Gasto corriente,1,Recursos fiscales,7,Chiapas,0,237948.0,228757.28,228757.28,228757.28,0.0,228757.28
2015,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",5,Hidroagrícola,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,G,Regulación y supervisión,10,Programa de gestión hídrica,11301,Sueldos base,1,Gasto corriente,1,Recursos fiscales,6,Colima,0,2436485.0,2557184.86,2557184.86,2517807.95,39376.91,2557184.86
2015,22,Instituto Nacional Electoral,200,Juntas Locales Ejecutivas,1,Gobierno,3,Coordinación de la Política de Gobierno,6,Organización de Procesos Electorales,1,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1,Gestión Administrativa,29301,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo",1,Gasto corriente,1,Recursos fiscales,20,Oaxaca,0,0.0,21287.88,21287.88,21287.88,0.0,21287.88
2015,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",5,Hidroagrícola,3,Manejo eficiente y sustentable del agua y prevención de inundaciones,K,Proyectos de Inversión,141,Rehabilitación y Modernización de Infraestructura de Riego y Temporal Tecnificado,33602,Otros servicios comerciales,3,Gasto de obra pública,1,Recursos fiscales,24,San Luis Potosí,1516B000031,0.0,72.2,72.2,72.2,0.0,72.2
2015,45,Comisión Reguladora de Energía,400,Órgano Interno de Control,1,Gobierno,3,Coordinación de la Política de Gobierno,4,Función Pública,1,Función pública y buen gobierno,O,Apoyo a la función pública y al mejoramiento de la gestión,1,Actividades de apoyo a la función pública ybuen gobierno,33801,Servicios de vigilancia,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,77139.0,31540.0,31540.0,31497.0,43.0,31540.0
