Ciclo,ID_Ramo,Ramo,ID_UR,UR,ID_FIN,FIN,ID_Funcion,Funcion,ID_Subfuncion,Subfuncion,ID_AI,Actividad_Institucional,ID_Modalidad,Modalidad,ID_PP,PP,ID_OG,Objeto_Gasto,ID_TG,Tipo_Gasto,ID_FF,Fuente_Financiamiento,ID_EF,EF,ID_CC,Aprobado,Modificado,Devengado,Pagado,Adefas,Ejercicio
2015,35,Comisión Nacional de los Derechos Humanos,101,Primera Visitaduría General,1,Gobierno,2,Justicia,4,Derechos Humanos,3,Proteger los derechos humanos eficaz y eficientemente,E,Prestación de Servicios Públicos,3,"Proporcionar servicios de atención al público en general, en oficinas foráneas, así como, atender asuntos relacionados con las personas migrantes",35199,"Servicios de instalacion, reparacion, mantenimiento y conservacion",1,Gasto corriente,1,Recursos fiscales,31,Yucatán,0,72000.0,129033.0,113709.63,113709.63,0.0,113709.63
2015,20,Desarrollo Social,152,Delegación SEDESOL en Zacatecas,2,Desarrollo Social,6,Protección Social,8,Otros Grupos Vulnerables,11,Apoyo a las madres trabajadoras en el cuidado de sus hijos,S,Sujetos a Reglas de Operación,174,Programa de estancias infantiles para apoyar a madres trabajadoras,33604,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,7,Gasto corriente por concepto de gastos indirectos de programas de subsidios,1,Recursos fiscales,32,Zacatecas,0,0.0,17846.65,17846.65,17846.65,0.0,17846.65
2015,9,Comunicaciones y Transportes,623,Centro SCT Baja California Sur,3,Desarrollo Económico,5,Transporte,2,Transporte por Agua y Puertos,4,Puertos eficientes y competitivos,G,Regulación y supervisión,2,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",35801,"Servicios de lavandería, limpieza e higiene",1,Gasto corriente,1,Recursos fiscales,3,Baja California Sur,0,200000.0,156425.23,156425.23,156425.23,0.0,156425.23
2015,9,Comunicaciones y Transportes,411,Dirección General de Política de Telecomunicaciones y de Radiodifusión,3,Desarrollo Económico,6,Comunicaciones,1,Comunicaciones,8,Regulación eficiente de las comunicaciones y los transportes,P,"Planeación, seguimiento y evaluación de políticas públicas",1,Definición y conducción de la política de comunicaciones y transportes,31801,Servicio postal,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,34071.0,2354.12,2354.12,2354.12,0.0,2354.12
2015,22,Instituto Nacional Electoral,300,Juntas Distritales Ejecutivas,1,Gobierno,3,Coordinación de la Política de Gobierno,6,Organización de Procesos Electorales,1,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",R,Específicos,5,Actualización del padrón electoral y expedición de la credencial para votar,14403,Cuotas para el seguro de gastos médicos del personal civil,1,Gasto corriente,1,Recursos fiscales,27,Tabasco,0,145068.0,132945.18,132945.18,132945.18,0.0,132945.18
2015,14,Trabajo y Previsión Social,123,Delegación Federal del Trabajo en Baja California Sur,3,Desarrollo Económico,1,"Asuntos Económicos, Comerciales y Laborales en General",2,Asuntos Laborales Generales,5,Instrumentación de la política Laboral,E,Prestación de Servicios Públicos,3,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,32701,"Patentes, derechos de autor, regalías y otros",1,Gasto corriente,1,Recursos fiscales,3,Baja California Sur,0,0.0,140338.8,140338.8,140338.8,0.0,140338.8
2015,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",A1I,Universidad Autónoma Chapingo,3,Desarrollo Económico,8,"Ciencia, Tecnología e Innovación",1,Investigación Científica,2,Servicios de apoyo administrativo,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1,Actividades de apoyo administrativo,33901,Subcontratación de servicios con terceros,1,Gasto corriente,1,Recursos fiscales,15,Estado de México,0,13123.0,13123.0,13123.0,13123.0,0.0,13123.0
2015,9,Comunicaciones y Transportes,640,Centro SCT Oaxaca,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,31,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,35101,Mantenimiento y conservación de inmuebles para la prestación de servicios administrativos,3,Gasto de obra pública,1,Recursos fiscales,20,Oaxaca,46021,5359.0,0.0,0.0,0.0,0.0,0.0
2015,15,"Desarrollo Agrario, Territorial y Urbano",400,Oficialía Mayor,3,Desarrollo Económico,2,"Agropecuaria, Silvicultura, Pesca y Caza",1,Agropecuaria,2,Servicios de apoyo administrativo,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1,Actividades de apoyo administrativo,31801,Servicio postal,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,14580.0,8120.9,8120.9,8120.9,0.0,8120.9
2015,9,Comunicaciones y Transportes,650,Centro SCT Veracruz,3,Desarrollo Económico,5,Transporte,1,Transporte por Carretera,10,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",K,Proyectos de Inversión,31,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,37501,Viáticos nacionales para labores en campo y de supervisión,3,Gasto de obra pública,1,Recursos fiscales,30,Veracruz,12096500011,9600.0,0.0,0.0,0.0,0.0,0.0
2015,4,Gobernación,410,Dirección General del Registro Nacional de Población e Identificación Personal,1,Gobierno,3,Coordinación de la Política de Gobierno,7,Población,13,Sistema de Identificación Personal,U,Otros Subsidios,1,Modernización Integral del Registro Civil con Entidades Federativas,43801,Subsidios a Entidades Federativas y Municipios,1,Gasto corriente,1,Recursos fiscales,16,Michoacán,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,13,Marina,212,Dirección General de Investigación y Desarrollo,1,Gobierno,6,Seguridad Nacional,2,Marina,4,Contribuir al desarrollo marítimo nacional,A,Funciones de las Fuerzas Armadas,2,Seguridad a la Navegación y Protección al Medio Ambiente Marino,14401,Cuotas para el seguro de vida del personal civil,1,Gasto corriente,1,Recursos fiscales,28,Tamaulipas,0,4546.0,0.0,0.0,0.0,0.0,0.0
2015,7,Defensa Nacional,120,Comandancia I Región Militar,1,Gobierno,6,Seguridad Nacional,1,Defensa,3,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior",A,Funciones de las Fuerzas Armadas,2,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",25101,Productos químicos básicos,1,Gasto corriente,1,Recursos fiscales,9,Distrito Federal,0,721988.0,754728.87,754728.87,754728.87,0.0,754728.87
